Timesteps,Episode_Reward
1000,-43.462898291647434
2000,-55.414013139903545
3000,-53.17725967615843
4000,-44.44444550573826
5000,-40.95941165834665
6000,-42.85714343935251
7000,-38.40579956769943
8000,-48.630139485001564
9000,-41.391941107809544
10000,-43.70861214399338
11000,-51.92307724058628
12000,-56.81063351035118
13000,-50.75757655501366
14000,-57.23684439063072
15000,-55.93220576643944
16000,-70.09966969490051
17000,-65.90909194946289
18000,-43.66197208315134
19000,-27.536234505474567
20000,-20.289857797324657
21000,-63.087250515818596
22000,-43.39622749388218
23000,-24.73118570446968
24000,-10.034605048596859
25000,-14.49814160168171
26000,-52.72727474570274
27000,-58.06451615691185
28000,-62.19931487739086
29000,-12.052116319537163
30000,-14.062499456107616
31000,-27.899688079953194
32000,-56.95364484190941
33000,-24.398628644645214
34000,-37.728937327861786
35000,-28.082194834947586
36000,-36.25498203188181
37000,-47.735194101929665
38000,-50.570342391729355
39000,-32.142857536673546
40000,-32.43243182450533
41000,-29.889301046729088
42000,47.1698110550642
43000,-36.395760379731655
44000,-30.000001221895218
45000,-18.518519334495068
46000,-31.74061692506075
47000,-66.46341566741467
48000,-67.63754191249609
49000,25.95419353246689
50000,-34.027780041098595
51000,-27.419355235993862
