Timesteps,Episode_Reward
1000,-32.20339263230562
2000,-29.104477629065514
3000,-31.74061692506075
4000,-40.06309078633785
5000,-33.79791210591793
6000,-31.74061692506075
7000,-28.030303463339806
8000,-34.85341990739107
9000,-32.88590873032808
10000,-21.933085948228836
11000,-22.222223073244095
12000,-35.48387015610933
13000,-24.73118570446968
14000,-27.83505466580391
15000,-39.30636194348335
16000,-41.391941107809544
17000,-39.59731801599264
18000,-34.16928055882454
19000,-45.55873917043209
20000,-75.00000114738941
21000,-82.26950517296791
22000,-78.4172678515315
23000,-83.44371023774147
24000,-82.75862208008766
25000,-83.05084934830666
26000,-83.71335616707802
27000,-83.27759376168251
28000,-82.8767139017582
29000,-80.23715606331825
30000,-82.14285841584206
31000,-81.54981723427773
32000,-74.92163167148829
33000,-85.11904945969582
34000,-69.04024910926819
35000,-82.33215680718422
36000,-81.75182643532753
37000,-82.69896379113197
38000,-77.61194138973951
39000,-80.39215856045485
40000,-78.72340589016676
41000,-77.69516854733229
42000,-70.90909276157618
43000,-71.42857251316309
44000,-35.897435791790485
45000,-82.69896379113197
46000,-88.5931571573019
47000,-63.52583736926317
48000,-82.33215680718422
49000,-83.38870587944984
50000,19.565214097499847
