Timesteps,Episode_Reward
1000,-34.85341990739107
2000,-35.37415002286434
3000,-37.704919561743736
4000,-35.897435791790485
5000,-39.87341712415218
6000,-37.08609579503536
7000,-35.897435791790485
8000,-26.1992641761899
9000,-36.70886004716158
10000,-39.7993334159255
11000,-20.94861949235201
12000,-29.824561722576618
13000,-32.72171538323164
14000,-32.692307502031326
15000,-34.85341990739107
16000,-38.775510631501675
17000,-36.66666792333126
18000,-34.06593354791403
19000,-42.37288397550583
20000,-74.76340756565332
21000,-34.640525944530964
22000,-61.6724760979414
23000,-65.39792599529028
24000,-83.87096872925758
25000,-79.59183793514967
26000,-82.14285841584206
27000,-84.37500110268593
28000,-83.27759376168251
29000,-85.71428719162941
30000,-82.75862208008766
31000,-83.55263343453407
31658,-145.29183742403984
32658,-24.81203044205904
33658,-24.4604335129261
34658,-22.222223073244095
35658,-33.75394228100777
36658,-32.038836270570755
37658,16.279069311916828
38407,-152.8564275354147
39407,-32.038836270570755
40407,-30.92105534672737
41407,-1.0654330253601074e-06
42407,-43.977593548595905
43407,-36.74699094891548
44407,-30.463579446077347
45407,-7.120743863284588
46407,13.074205003678799
47407,-23.076922208070755
48407,-23.357667475938797
49407,0.7194225117564201
49792,-118.98252486437559
